x,y,z,p0,p1
1.247470e-02,-5.868886e-02,5.555556e-03,1.000000e+00,-9.781476e-01
2.150208e-02,-5.601483e-02,1.083252e-17,1.000000e+00,-9.335804e-01
2.440420e-02,-5.481273e-02,1.003736e-17,1.000000e+00,-9.135455e-01
2.150208e-02,-5.601483e-02,5.555556e-03,1.000000e+00,-9.335804e-01
2.150208e-02,-5.601483e-02,2.777778e-03,1.000000e+00,-9.335804e-01
2.296101e-02,-5.543277e-02,2.777778e-03,1.000000e+00,-9.238795e-01
2.296101e-02,-5.543277e-02,1.043852e-17,1.000000e+00,-9.238795e-01
2.723943e-02,-5.346039e-02,9.214693e-18,1.000000e+00,-8.910065e-01
2.723943e-02,-5.346039e-02,5.555556e-03,1.000000e+00,-8.910065e-01
2.583067e-02,-5.415512e-02,9.629328e-18,1.000000e+00,-9.025853e-01
2.583067e-02,-5.415512e-02,2.777778e-03,1.000000e+00,-9.025853e-01
2.723943e-02,-5.346039e-02,2.777778e-03,1.000000e+00,-8.910065e-01
2.440420e-02,-5.481273e-02,5.555556e-03,1.000000e+00,-9.135455e-01
3.267834e-02,-5.032023e-02,8.959480e-18,1.000000e+00,-8.386706e-01
3.526712e-02,-4.854102e-02,8.135038e-18,1.000000e+00,-8.090170e-01
3.267834e-02,-5.032023e-02,5.555556e-03,1.000000e+00,-8.386706e-01
3.398437e-02,-4.944757e-02,8.550189e-18,1.000000e+00,-8.241262e-01
3.267834e-02,-5.032023e-02,2.777778e-03,1.000000e+00,-8.386706e-01
3.398437e-02,-4.944757e-02,2.777778e-03,1.000000e+00,-8.241262e-01
3.775922e-02,-4.662876e-02,5.555556e-03,1.000000e+00,-7.771460e-01
3.775922e-02,-4.662876e-02,7.288298e-18,1.000000e+00,-7.771460e-01
3.652569e-02,-4.760120e-02,2.777778e-03,1.000000e+00,-7.933533e-01
