x,y,z,real,imag
1.3345636129379272e-03,-4.6254577636718752e-02,-1.1540087127685547e-01,2.8258441708053672e-01,7.3358104599352636e-01
9.2482042312622068e-03,-4.6260074615478514e-02,-1.1540026855468750e-01,2.6440489446455850e-01,5.4885542812911803e-01
5.2735381126403809e-03,-3.9325317382812502e-02,-1.1540002441406250e-01,3.1500370591342897e-01,7.8462009207963135e-01
3.7344364166259768e-02,-3.8274646759033200e-02,-1.1539979553222657e-01,2.4697917891900056e-01,2.9643876689791071e-03
4.5131698608398441e-02,-3.8266807556152346e-02,-1.1540129089355469e-01,2.3058606679283689e-01,-2.0467008847228652e-01
4.1303379058837894e-02,-3.0158599853515624e-02,-1.1539990997314453e-01,2.8672263379066232e-01,7.5105681803029345e-02
-4.6478740692138670e-02,-4.6542476654052735e-02,-1.1531124114990235e-01,3.9699171546282896e-01,1.6958811366083677e+00
-3.8488468170166018e-02,-4.6355625152587891e-02,-1.1537487030029298e-01,3.7762083881085351e-01,1.5545150931571643e+00
-4.2256317138671874e-02,-3.9769535064697263e-02,-1.1537732696533202e-01,4.2861581914268121e-01,1.7554108751967807e+00
-3.0501649856567382e-02,-4.6266929626464844e-02,-1.1540220642089843e-01,3.5831807630583079e-01,1.4051307637716843e+00
-2.2522342681884765e-02,-4.6238708496093753e-02,-1.1540647888183594e-01,3.3907242696576767e-01,1.2481074205830056e+00
-2.6559268951416016e-02,-3.9261329650878904e-02,-1.1540351104736328e-01,3.9225262769597502e-01,1.4692288386856116e+00
-8.2425369262695308e-02,-3.6262546539306641e-02,-1.3187818908691407e-01,5.6054918697236311e-01,2.5101024807868266e+00
-8.0429016113281251e-02,-4.0490528106689454e-02,-1.2538678741455078e-01,5.2592736817322783e-01,2.3750110955045911e+00
-8.3739425659179689e-02,-3.2918735504150393e-02,-1.2456027984619140e-01,5.8695033253744411e-01,2.5688255110811746e+00
8.2643699645996091e-02,1.1590634918212890e-01,-2.1740301513671875e-01,2.1024242557051389e+00,8.0322542176807410e-01
7.7074508666992184e-02,1.1047761535644532e-01,-2.1712248229980469e-01,2.0897320809715039e+00,6.3169701256384836e-01
7.5663589477539067e-02,1.1849756622314453e-01,-2.1713302612304688e-01,2.1193892558159879e+00,9.1925033651202415e-01
9.4163093566894535e-02,1.2573273468017579e-01,-2.1336518859863282e-01,2.1152714385587830e+00,1.1546616027058731e+00
8.8313957214355462e-02,1.2129633331298828e-01,-2.1634259033203124e-01,2.1119971316606621e+00,9.8481406755704215e-01
8.7227516174316400e-02,1.2860650634765625e-01,-2.1398348999023437e-01,2.1296690501090088e+00,1.2381431217113175e+00
6.0478183746337892e-02,9.8681098937988279e-02,-2.0873719787597655e-01,2.0586614822945264e+00,2.9725793776187115e-01
5.6027404785156248e-02,9.7214080810546874e-02,-2.0502508544921874e-01,2.0570562685401228e+00,2.7448445179730019e-01
5.3746536254882814e-02,1.0205567932128906e-01,-2.0803385925292969e-01,2.0893708423904132e+00,5.1618097522147321e-01
-4.7032863616943359e-02,9.0218383789062495e-02,-1.9865837097167968e-01,2.1275004221727141e+00,2.9524185115150456e+00
